stations	x	y	yield	01_04_2015	02_04_2015	03_04_2015	01_05_2015	02_05_2015	03_05_2015	01_06_2015	02_06_2015	03_06_2015	01_07_2015	02_07_2015	03_07_2015	01_08_2015	02_08_2015	03_08_2015	01_09_2015	02_09_2015	03_09_2015	01_10_2015
2250028	513.337282	7473.079161	5.89	3.1	43.1	33.3	50.4	8.3	31.1	0	0.6	0	148.8	63.9	0	0	4.6	21.4	145.2	1	63.4	106.6
2250030	523.5777351	7460.889753	5.77	4.5	8	54.1	68	3.6	50.7	0	4.7	0	176.2	54.5	1.7	0	4.8	28.8	95.9	27.4	85.7	160.9
2250031	535.8818883	7461.97247	5.77	35.1	34.2	41.5	77.5	0	24.3	3.5	7.9	20.1	149.3	116.2	16.4	1.7	5.7	38.8	88.2	17.5	76.2	103.7
2250032	553.3026758	7459.706826	5.88	1.4	27.6	50.9	52.4	0.7	59.8	0	9.1	2.1	105.4	61.3	1.1	0	2.3	26.2	91.1	29.6	43.6	110.3
2250033	574.8294548	7459.615184	5.66	0	13.1	15.6	60.6	3	47.3	0	10.3	0	136.4	38.5	4.1	0	1.7	38.8	105	41.8	36	75.3
2251023	462.0121787	7484.107296	4.8	0	43.6	0	62.8	3.9	34.1	0	3	29	90.4	73	4.4	0	2.7	15.8	74.5	18.5	59	56.5
2251027	479.496124	7462.001251	6.2	32	25.8	13.2	84.8	22.2	46.2	0.6	5.2	0	194.4	47.4	0.4	0	4.6	31.4	38.8	50.6	73.4	187
2251033	408.7218148	7467.27426	5.8	0	11.8	0	71.9	15.8	49.8	0	0	20.3	110.8	57.9	0	0	0	39.9	68	17.7	122.8	131.4
2251037	427.1247303	7479.55196	4.92	15.3	51	7.1	93.7	0	68.2	0	4	10.1	108.5	81.8	0	0	5	12	85.1	12.2	92	106.2
2251038	476.3894583	7481.92246	6	83.6	8.4	46.9	0	8.4	0	142.7	88.2	0	0	5.7	15.7	131.2	4.8	49.5	87.5	118.4	93.8	51.2
2251039	496.9221675	7473.084723	6	1.6	15	20.6	49.7	28.4	43.3	0	3.9	0	132.1	58	4.1	0	1.5	17.5	98.1	22.4	49.6	115
2251041	418.8599673	7489.473644	5.7	0	72.2	62.6	39.6	2.7	39.1	2.5	0	0	131.2	52.5	7.6	0	0.6	58.6	60.5	21.8	58.6	80.8
2251042	434.2668087	7489.547844	6.2	8.7	116.5	1.7	57	5.3	40.6	2.8	3.9	5.7	113.7	85.5	13.6	0	2.1	38.5	76.4	14.1	49.3	141.6
2251069	438.4290629	7476.280923	5.4	7.5	43.3	2.6	56.5	4.9	44.3	0	5.2	5.2	131.4	110.3	5.9	0	2.5	17.1	73.4	14.3	75.6	110.3
2252010	387.1247653	7474.878545	5.95	25.4	24.5	59.9	71.5	0	53.9	0	5	22.5	149.6	16	0	0	0	33.9	68.8	10	100	98.3
