stations	X	Y	x	y	01.04.2015	02.04.2015	03.04.2015	01.05.2015	02.05.2015	03.05.2015	01.06.2015	02.06.2015	03.06.2015	01.07.2015	02.07.2015	03.07.2015	01.08.2015	02.08.2015	03.08.2015	01.09.2015	02.09.2015	03.09.2015	01.10.2015
2250028	513337.281954636	7473079.16067545	513.337281954636	7473.07916067545	3.1	43.1	33.3	50.4	8.3	31.1	0	0.6	0	148.8	63.9	0	0	4.6	21.4	145.2	1	63.4	106.6
2250030	523577.735076696	7460889.75325437	523.577735076696	7460.88975325437	4.5	8	54.1	68	3.6	50.7	0	4.7	0	176.2	54.5	1.7	0	4.8	28.8	95.9	27.4	85.7	160.9
2250031	535881.888273416	7461972.47003734	535.881888273416	7461.97247003734	35.1	34.2	41.5	77.5	0	24.3	3.5	7.9	20.1	149.3	116.2	16.4	1.7	5.7	38.8	88.2	17.5	76.2	103.7
2250032	553302.675844551	7459706.82629089	553.302675844551	7459.70682629089	1.4	27.6	50.9	52.4	0.7	59.8	0	9.1	2.1	105.4	61.3	1.1	0	2.3	26.2	91.1	29.6	43.6	110.3
2250033	574829.45480755	7459615.183848	574.82945480755	7459.615183848	0	13.1	15.6	60.6	3	47.3	0	10.3	0	136.4	38.5	4.1	0	1.7	38.8	105	41.8	36	75.3
2251023	462012.178694655	7484107.29554952	462.012178694655	7484.10729554952	0	43.6	0	62.8	3.9	34.1	0	3	29	90.4	73	4.4	0	2.7	15.8	74.5	18.5	59	56.5
2251027	479496.124025303	7462001.25052503	479.496124025303	7462.00125052503	32	25.8	13.2	84.8	22.2	46.2	0.6	5.2	0	194.4	47.4	0.4	0	4.6	31.4	38.8	50.6	73.4	187
2251033	408721.814796045	7467274.26033393	408.721814796045	7467.27426033393	0	11.8	0	71.9	15.8	49.8	0	0	20.3	110.8	57.9	0	0	0	39.9	68	17.7	122.8	131.4
2251037	427124.730347062	7479551.96040335	427.124730347062	7479.55196040335	15.3	51	7.1	93.7	0	68.2	0	4	10.1	108.5	81.8	0	0	5	12	85.1	12.2	92	106.2
2251038	476389.458269745	7481922.46016636	476.389458269745	7481.92246016636	83.6	8.4	46.9	0	8.4	0	142.7	88.2	0	0	5.7	15.7	131.2	4.8	49.5	87.5	118.4	93.8	51.2
2251039	496922.167461082	7473084.72332308	496.922167461082	7473.08472332308	1.6	15	20.6	49.7	28.4	43.3	0	3.9	0	132.1	58	4.1	0	1.5	17.5	98.1	22.4	49.6	115
2251041	418859.967292894	7489473.64448842	418.859967292894	7489.47364448842	0	72.2	62.6	39.6	2.7	39.1	2.5	0	0	131.2	52.5	7.6	0	0.6	58.6	60.5	21.8	58.6	80.8
2251042	434266.808748287	7489547.84414664	434.266808748287	7489.54784414664	8.7	116.5	1.7	57	5.3	40.6	2.8	3.9	5.7	113.7	85.5	13.6	0	2.1	38.5	76.4	14.1	49.3	141.6
2251069	438429.062870697	7476280.92266507	438.429062870697	7476.28092266507	7.5	43.3	2.6	56.5	4.9	44.3	0	5.2	5.2	131.4	110.3	5.9	0	2.5	17.1	73.4	14.3	75.6	110.3
2252010	387124.765251799	7474878.54500626	387.124765251799	7474.87854500626	25.4	24.5	59.9	71.5	0	53.9	0	5	22.5	149.6	16	0	0	0	33.9	68.8	10	100	98.3
2252013	393065.017129887	7505921.49044264	393.065017129887	7505.92149044264	3.2	25.1	29.7	62.3	1.6	52.2	6.2	4.7	9.7	135.9	45.7	8.9	0	0.9	6.3	91.1	25	42.9	83.7
2252015	308872.679538092	7494029.29943843	308.872679538092	7494.02929943843	16.3	62.1	6.2	53.1	6.6	63.7	0	4.5	15.1	117.8	53.2	1.9	0	0	13	102.3	21.4	105.5	99.1
2252017	343816.386432234	7494426.34242218	343.816386432234	7494.42634242218	0	25.4	12.6	47	11	62	30	4.5	0	106.7	3	5.4	0	0	18.1	112.3	0	74	133.4
2252020	296715.881293601	7480580.97951324	296.715881293601	7480.58097951324	23.3	56.6	0	35.6	22.1	64.8	6.3	0	17.2	92.2	88.2	0	0	0	13.6	108.1	7.3	137.3	119.7
2252023	351096.655114075	7485640.52233472	351.096655114075	7485.64052233472	0	37.1	0	71.2	3.1	114.9	0	9.6	15.2	114.5	59.7	1.1	0	0	27.8	87.5	5.1	108.5	68.4
2252024	361367.243280194	7485737.50930859	361.367243280194	7485.73750930859	0	50	0	37.3	16.7	64.5	0	0	5	115.1	21.9	0	0	0	25.3	63.2	16.7	71.5	87.8
2252025	315444.105531662	7460884.55136202	315.444105531662	7460.88455136202	18.6	72.2	0	51.4	32.1	90.5	0	11.7	0	115.7	139.1	9.6	0	0	32.1	103.8	1.3	90.7	115.7
2252027	343051.899705955	7468949.22016134	343.051899705955	7468.94922016134	13.7	68.4	8.7	56.3	4.4	64.8	0	7.6	11.7	153.2	62.1	0	0	0	25.2	80.5	32.8	138.9	124.2
2253002	266948.654092142	7479045.66658982	266.948654092142	7479.04566658982	0	60.4	0	71.3	0	111.8	0	7.4	0	103.5	90	2.1	0	0	13.4	139.9	0	112.6	51.9
2253010	253939.629397399	7457789.27892739	253.939629397399	7457.78927892739	16	105.1	0	66.3	19.6	75.7	5.3	18.2	15.5	218.4	46.2	5.2	0	0	16.1	153.1	0	89.9	27
2253011	266247.315573698	7457985.55027417	266.247315573698	7457.98555027417	25	15.6	89	102.2	12.5	138.7	0	20.1	14	151.6	70.9	4.8	0	0	13	125.1	0	138.5	83.2
2253013	291824.839401024	7462791.96520793	291.824839401024	7462.79196520793	22	101.6	0	91.7	5.9	73.1	0	9.5	0	134	83.2	16.4	0	0	29	110.8	3.1	78.4	99.5
2253016	277121.401274039	7485844.95749002	277.121401274039	7485.84495749002	21.9	78	4.6	47.1	17	106.1	1.3	11.1	18.7	100.7	106.2	2.8	0	0	5.1	120.1	17.2	121.6	77
2349030	615378.338599093	7400674.90448122	615.378338599093	7400.67490448122	37.8	22.6	40.6	0	15.6	0	182	74.5	1.6	0	2.5	60.8	92.4	51.1	53.8	163.5	42.1	55.8	117.9
2349036	627919.446747465	7433790.25417529	627.919446747465	7433.79025417529	3.5	3.1	5.3	70.1	21.3	32.5	0	6.5	0	135.3	27.4	0	0	4.1	35.2	108.7	32.3	48.6	82.2
2349059	604216.575580251	7410723.58563879	604.216575580251	7410.72358563879	0	2.1	7.3	65	0	33.2	0	14.7	0	162.2	82.4	0	0	0	60.7	138.3	47.7	67.1	190.7
2349060	627583.958537367	7395037.14650843	627.583958537367	7395.03714650843	1.2	16.6	14.7	85.6	4	28.3	0	14.5	19.8	132.9	73.7	0.4	0	0	39.4	133	87.3	53.4	147.2
2349061	640640.350757622	7372769.26931774	640.640350757622	7372.76926931774	0	1.8	22.6	102.8	0	33.1	0	18.1	0	141.5	78.7	0	0	0	36.3	119.8	41.4	45.8	165.7
2349064	637413.870666448	7355081.44398944	637.413870666448	7355.08144398944	7.8	9.1	32.3	102.8	3.3	19.1	0	12.2	0	128.7	78.4	3.2	0	2.3	43.8	114.8	41.1	62.9	135.6
2350002	572714.852553891	7446340.51017075	572.714852553891	7446.34051017075	0	9.3	19	32.5	10.5	45.6	2.8	45	8	161.4	57.7	0	0	0	36.4	49.9	71	26.3	148.5
2350006	535735.215153035	7401085.10193511	535.735215153035	7401.08510193511	9.8	28.5	55.2	115.4	0.2	59.6	0	7.7	0	205.2	126.1	4.1	0	2.1	44.5	97.7	12.1	65.2	132.3
2350011	595282.636087858	7451749.5721165	595.282636087858	7451.7495721165	0	15	0	48	61	33.8	0	11.3	18	88.6	56.4	17.5	0	0	25	197.6	0	66.7	77.8
2350012	595098.783877117	7422964.3915648	595.098783877117	7422.9643915648	14.2	2.9	10.8	24	61.6	42	0	14.4	10	185.6	66.6	0.4	0	0.4	18.3	103.4	12.6	78.5	165.9
2350018	566564.81650572	7445262.05354578	566.56481650572	7445.26205354578	2.8	22.6	69.7	22.1	20.9	84.7	1	11.8	0	170.4	64.7	0.3	0	2.6	34.4	51.5	61.5	63	122.8
2350021	537819.879075783	7417686.0779645	537.819879075783	7417.6860779645	49	19.7	17.8	88	2	47.1	0	9.2	0	223.1	69.8	0	0	4.3	31.2	95.6	24.3	82.2	200.1
2350023	520464.490264611	7433218.91192408	520.464490264611	7433.21891192408	31.9	10.3	8.5	106.1	1.9	49.5	0	7.1	0	220.6	54.1	0.2	0	5.9	38.2	93.1	25.3	91.5	168.3
2350026	525605.315037563	7447602.31579573	525.605315037563	7447.60231579573	9.3	3.1	24	63.3	0.6	37.1	2	6.2	15	147	46.2	0	0	6.1	46.2	102.5	2	86.9	146.8
2350029	558298.307441174	7426476.23748247	558.298307441174	7426.47623748247	14.5	8.8	19.7	56.4	0.5	46	0	8.6	0	186.1	51.4	0	0	1.1	29.2	98.8	22.2	62.8	154.2
2350032	508174.781167049	7413304.01619181	508.174781167049	7413.30401619181	8	18.5	21	123.7	0	44.9	0	10.2	0	292.7	114.6	2.1	0	3	35.7	129.9	0	104	183.7
2350033	566416.077317334	7412049.60598934	566.416077317334	7412.04960598934	35.1	3.4	18.3	81.1	0	45.5	0	11.4	0	189.4	91.4	0	0	4.1	34.4	101	21	63.3	194.4
2350037	519357.83855725	7370117.23232898	519.35783855725	7370.11723232898	0	5.3	10.9	105.2	0	25.1	0	0	0	317.6	82.1	5.5	0	0	62.5	129.8	0	54.2	168.4
2350041	576331.861633912	7354427.95638518	576.331861633912	7354.42795638518	3.7	1.6	21.7	97.2	1.2	30.2	0	14.9	0	151.2	92.9	6.5	0	6.8	52.9	69.1	26.8	60.1	124
2350042	583475.748140055	7357709.9819668	583.475748140055	7357.7099819668	0	0	22.7	103.5	0	19.8	0	12.3	0	122.8	103.8	5.4	0	5.1	69.7	145.6	20.2	45.7	121.7
2350043	599718.608805335	7350962.92951994	599.718608805335	7350.96292951994	0	16	43.2	104.3	0	34.5	0	14.3	0	131.6	104.2	5.7	0	7.1	64.1	117.8	32.3	36.5	116
2350046	588613.588333125	7365430.01062902	588.613588333125	7365.43001062902	4.1	21.4	15.1	70.9	0.4	27	0	11.4	0	144.9	84.8	1.4	0	0.8	40.6	117.8	24.4	50.7	132.2
2350048	554060.397839474	7386636.40260778	554.060397839474	7386.63640260778	9.7	26.8	40.8	96.8	0	38.7	0	7.5	0	174.3	119.7	0	0	0	40.6	92	15.1	59.2	106.5
2350049	570380.9946229	7386566.75290585	570.3809946229	7386.56675290585	6.1	33.8	25.5	113.2	0	19.2	0	12.1	0	180.4	106.1	0	0	0	31.3	0	105.2	28.9	105.4
2350052	561237.737274624	7395465.15437902	561.237737274624	7395.46515437902	13.2	28.5	22.9	113.2	0	45.9	0	13.8	0	220.8	123.7	0.8	0	1.7	49.9	95.3	21.3	64.5	172.2
2350053	578648.399353609	7406453.62837855	578.648399353609	7406.45362837855	15.3	4.2	1.6	71.6	0	42	0	11.2	0	188.9	74.1	0	0	2.6	32.9	77.7	29.1	39.2	171
2350054	599025.466480878	7398579.95102446	599.025466480878	7398.57995102446	9.1	24.9	12.1	65.9	0.7	48.3	0	14.3	0	188.7	77.2	0.6	0	2.2	66.7	84.2	37.8	50.5	165.9
2350061	543769.769061696	7356778.23803042	543.769769061696	7356.77823803042	0	0	29.6	106	0	13.5	0	17	0	170	124.9	6.7	0	6.1	55	115.6	18.6	73.9	94.6
2350062	562116.252437011	7362246.68287109	562.116252437011	7362.24668287109	1.6	5.8	29.9	114.7	0	28.8	0	12.1	0	147.8	100.4	0	0	8.7	48.5	122	20.1	49.5	118.9
2350063	568241.924441062	7365540.58582161	568.241924441062	7365.54058582161	0	24.3	0	79.7	27.2	21.6	0	7.6	4.8	134.2	71.5	0	0	3.7	45.1	148.4	0	26	160.3
2350066	512238.117362915	7384517.3101674	512.238117362915	7384.5173101674	3.1	4.6	16.1	110.5	0	37	0	15.1	6	219.6	127.4	2.7	0	2.4	63.3	96.5	23.3	63.7	132
