cities	x	y	yield
ABATI?	570.5815395	7422.328404	5.52
ADRIAN?POLIS	720.2769261	7257.306851	0
AGUDOS_DO_SUL	668.9903181	7120.183318	0
ALMIRANTE_TAMANDAR?	668.8845573	7201.121262	0
ALTAMIRA_DO_PARAN?	328.9682041	7254.666903	4.96
ALTO_PARA?SO	211.5479263	7394.028898	0
ALTO_PARAN?	364.412937	7447.461816	5
ALTO_PIQUIRI	255.868125	7332.772776	5.5
ALT?NIA	199.7356918	7353.441541	4.2
ALVORADA_DO_SUL	473.8733885	7477.491059	6
AMAPOR?	312.1345349	7441.070761	5.7
AMP?RE	251.2123232	7131.246899	5
ANAHY	283.1612946	7272.762015	7.1
ANDIR?	574.6339609	7454.320649	5.66
?NGULO	406.4661449	7435.2783	6.1
ANTONINA	729.3197444	7199.34005	0
ANT?NIO_OLINTO	587.2205151	7128.501483	0
APUCARANA	454.4846997	7393.10067	5.3
ARAPONGAS	456.3067923	7407.62742	6
ARAPOTI	604.0957929	7335.104559	6
ARAPU?	417.3213297	7307.497475	4.45
ARARUNA	339.684163	7349.938413	4.53
ARAUC?RIA	656.4494175	7166.762621	0
ARIRANHA_DO_IVA?	445.0829417	7303.989982	4.8
ASSA?	512.730277	7411.584299	5.86
ASSIS_CHATEAUBRIAND	237.6597448	7295.777137	6
ASTORGA	428.4176449	7428.674392	6
ATALAIA	390.956199	7441.851402	5.95
BALSA_NOVA	631.7930384	7176.647742	0
BANDEIRANTES	566.8756322	7438.580786	5.62
BARBOSA_FERRAZ	393.575974	7336.290807	5.1
BARRA_DO_JACAR?	586.0896209	7444.540115	6.5
BARRAC?O	246.9014117	7094.590849	4.5
BELA_VISTA_DA_CAROBA	236.0188941	7134.829367	4
BELA_VISTA_DO_PARA?SO	475.8089885	7455.933802	6.2
BITURUNA	447.6252066	7105.386468	0
BOA_ESPERAN?A	322.4426726	7316.364659	5.95
BOA_ESPERAN?A_DO_IGUA?U	276.5821422	7162.270892	6.2
BOA_VENTURA_DE_S?O_ROQUE	442.4751565	7250.749918	0
BOA_VISTA_DA_APARECIDA	256.4298829	7184.780753	6.82
BOCAI?VA_DO_SUL	708.1178276	7220.619155	0
BOM_JESUS_DO_SUL	244.8766453	7103.848172	4.3
BOM_SUCESSO	416.0019948	7377.337865	5.2
BOM_SUCESSO_DO_SUL	316.1435059	7113.471683	7.5
BORRAZ?POLIS	439.7442973	7352.416557	4.8
BRAGANEY	288.7084802	7255.375097	6.94
BRASIL?NDIA_DO_SUL	241.786093	7325.076356	5.7
CAFEARA	427.0659882	7476.953235	4.92
CAFEL?NDIA	260.8404249	7267.05559	6.6
CAFEZAL_DO_SUL	239.2348543	7350.1375	4
CALIF?RNIA	465.9347927	7382.439461	5.9
CAMBAR?	593.959676	7456.630358	6.94
CAMB?	470.7421965	7436.577299	6.72
CAMBIRA	442.1847847	7386.592704	6.19
CAMPINA_DA_LAGOA	319.023621	7276.328548	7
CAMPINA_DO_SIM?O	421.0786577	7220.381193	0
CAMPINA_GRANDE_DO_SUL	717.198733	7212.635534	0
CAMPO_BONITO	296.6532838	7240.878399	6.94
CAMPO_DO_TENENTE	634.4319537	7126.103342	0
CAMPO_LARGO	639.0967008	7202.052649	0
CAMPO_MAGRO	654.7644153	7202.072804	0
CAMPO_MOUR?O	359.7513846	7333.599541	4.8
C?NDIDO_DE_ABREU	474.3315846	7274.285737	4.46
CAND?I	397.4557546	7176.624183	3.9
CANTAGALO	386.1057028	7202.754177	4.7
CAPANEMA	222.4510828	7164.573383	5
CAPIT?O_LE?NIDAS_MARQUES	239.3181108	7180.503929	6.82
CARAMBE?	585.8523538	7246.517096	6
CARL?POLIS	631.3248959	7404.730407	5.5
CASCAVEL	259.8997876	7229.710396	7.07
CASTRO	617.0823099	7256.714105	6
CATANDUVAS	282.8607164	7206.531878	6.7
CENTEN?RIO_DO_SUL	442.4806359	7477.925963	5.4
CERRO_AZUL	673.7986692	7247.770752	0
C?U_AZUL	221.9005362	7204.836745	7.4
CHOPINZINHO	354.4768801	7144.284529	6.25
CIANORTE	334.1977089	7374.980675	4.1
CIDADE_GA?CHA	299.813558	7412.695021	4.5
CLEVEL?NDIA	364.5551425	7085.406244	6
COLOMBO	682.4116551	7199.909595	0
COLORADO	400.2381004	7474.261579	5.8
CONGONHINHAS	550.6299838	7389.371218	5.86
CONSELHEIRO_MAIRINCK	588.7833552	7390.095789	5.8
CONTENDA	647.8577178	7154.570727	0
CORB?LIA	273.8219792	7261.718838	7.2
CORN?LIO_PROC?PIO	538.5062115	7431.437636	5.94
CORONEL_DOMINGOS_SOARES	407.8121908	7103.800193	0
CORONEL_VIVIDA	343.373996	7124.206605	8
CORUMBATA?_DO_SUL	384.132373	7331.710038	5
CRUZ_MACHADO	476.7279632	7132.927302	2.3
CRUZEIRO_DO_IGUA?U	286.1203714	7167.372795	5.8
CRUZEIRO_DO_OESTE	287.6727315	7370.91694	5
CRUZEIRO_DO_SUL	380.8180045	7457.330766	5.95
CRUZMALTINA	451.6455744	7343.547527	4.8
CURITIBA	672.0763784	7181.001937	0
CURI?VA	554.3964678	7344.220662	5.45
DIAMANTE_DO_NORTE	305.4519012	7495.680064	6.2
DIAMANTE_DO_SUL	328.0842069	7234.495249	5.45
DIAMANTE_D'OESTE	186.9234325	7236.594833	5.21
DOIS_VIZINHOS	291.8980598	7150.366588	6
DOURADINA	265.8839101	7416.183828	3.9
DOUTOR_CAMARGO	376.0372391	7393.8611	5.5
DOUTOR_ULYSSES	662.7117022	7275.62256	0
EN?AS_MARQUES	284.2817437	7132.983205	5.2
ENGENHEIRO_BELTR?O	370.5931081	7371.590334	4.68
ENTRE_RIOS_DO_OESTE	173.9891949	7262.90308	6.7
ESPERAN?A_NOVA	214.6484113	7374.627327	0
ESPIG?O_ALTO_DO_IGUA?U	320.3733544	7194.798695	5.5
FAROL	334.5398428	7331.188734	4.8
FAXINAL	470.9998094	7345.421323	4.8
FAZENDA_RIO_GRANDE	670.8426749	7159.135242	0
F?NIX	395.285696	7356.287918	4.1
FERNANDES_PINHEIRO	549.2619753	7177.656836	7
FIGUEIRA	558.0384571	7359.306483	5.45
FLOR_DA_SERRA_DO_SUL	270.8428737	7095.98328	4.8
FLORA?	362.1992315	7419.035618	5.35
FLORESTA	388.8576468	7388.867731	5.82
FLOREST?POLIS	458.6956427	7468.266538	6.84
FL?RIDA	403.0806668	7444.566304	6.37
FORMOSA_DO_OESTE	263.3412255	7311.472118	6.4
FOZ_DO_IGUA?U	149.7287711	7179.07776	6.32
FOZ_DO_JORD?O	390.5713797	7157.142419	3.69
FRANCISCO_ALVES	207.9734093	7332.295514	5.4
FRANCISCO_BELTR?O	286.6550263	7117.29661	5.4
GENERAL_CARNEIRO	460.9758082	7071.992751	0
GODOY_MOREIRA	407.7455603	7327.788966	4.2
GOIOER?	291.6129288	7325.137131	5.7
GOIOXIM	399.7059399	7220.335579	4.8
GRANDES_RIOS	454.4983491	7324.605115	4.8
GUA?RA	171.7339263	7320.718438	5.83
GUAIRA??	321.5666811	7463.975752	3
GUAMIRANGA	516.2539428	7216.186895	6.2
GUAPIRAMA	594.2739826	7404.384426	5.95
GUAPOREMA	313.1503722	7419.31155	4.5
GUARACI	430.4364622	7461.153672	4.68
GUARANIA?U	311.8659687	7227.770455	5.95
GUARAPUAVA	450.2159958	7193.175859	0
GUARAQUE?ABA	765.2220388	7206.446169	0
GUARATUBA	723.7267117	7142.602535	0
HON?RIO_SERPA	362.8466205	7105.646955	0
IBAITI	572.5826966	7370.186318	5
IBEMA	296.0887578	7216.519889	6.45
IBIPOR?	496.0542649	7430.311415	6.6
ICARA?MA	235.7532408	7412.769557	4
IGUARA?U	413.5128579	7430.773738	6.2
IGUATU	288.9510902	7267.95431	7.13
IMBA?	526.1869015	7297.179163	5
IMBITUVA	534.8221128	7209.975783	7.5
IN?CIO_MARTINS	480.2179069	7164.838705	5.2
INAJ?	374.1832344	7486.894284	0
INDIAN?POLIS	329.1623061	7401.588391	4.9
IPIRANGA	541.8975943	7236.226514	5
IPOR?	223.3560602	7338.114129	4
IRACEMA_DO_OESTE	261.5787355	7295.238891	5.5
IRATI	517.5060727	7180.988193	7
IRETAMA	387.3105368	7306.309726	5
ITAGUAJ?	400.5163862	7494.26903	4.5
ITAIPUL?NDIA	161.4391738	7213.670133	6.7
ITAMBARAC?	560.0403277	7458.27573	5.88
ITAMB?	397.2245063	7377.974221	5.1
ITAPEJARA_D'OESTE	317.4237375	7124.583095	7
ITAPERU?U	652.1300002	7220.302897	0
ITA?NA_DO_SUL	305.0897863	7485.250084	4.2
IVA?	514.094602	7236.498133	5
IVAIPOR?	436.1367724	7314.483765	4.8
IVAT?	252.1333422	7415.288924	4
IVATUBA	379.9290243	7389.743394	5.83
JABOTI	593.7838014	7376.679929	5.2
JACAREZINHO	607.7463525	7439.415756	5.95
JAGUAPIT?	443.0801623	7449.043593	5.28
JAGUARIA?VA	631.3751637	7308.568654	5
JANDAIA_DO_SUL	430.2044379	7386.827099	4.8
JANI?POLIS	315.9948046	7330.499271	4.2
JAPIRA	585.3081229	7374.967975	5.2
JAPUR?	342.5683297	7407.094414	4.7
JARDIM_ALEGRE	421.7817297	7322.69443	4.8
JARDIM_OLINDA	389.0629988	7503.228441	5.46
JATAIZINHO	507.7581862	7428.646816	5.77
JESU?TAS	255.5380428	7297.896209	6
JOAQUIM_T?VORA	611.2974436	7405.523901	5.7
JUNDIA?_DO_SUL	578.4178119	7403.865135	6.69
JURANDA	313.8122917	7300.517593	6.35
JUSSARA	352.2496819	7384.420605	4
KALOR?	429.7050477	7361.428549	5.4
LAPA	613.1742397	7149.286592	0
LARANJAL	349.4606746	7245.072586	4.6
LARANJEIRAS_DO_SUL	360.9281591	7196.085152	5.45
LE?POLIS	529.625564	7453.494306	5.77
LIDIAN?POLIS	434.9392533	7335.862898	4.46
LINDOESTE	242.3861663	7203.609176	6.2
LOANDA	287.6197074	7460.695188	4.4
LOBATO	398.8009011	7458.175555	6.45
LONDRINA	488.7457671	7399.444481	5.7
LUIZIANA	365.0122538	7306.538034	5.95
LUNARDELLI	421.6284706	7336.651773	4.46
LUPION?POLIS	431.8030601	7486.504846	6.2
MALLET	514.3454348	7136.7894	6.5
MAMBOR?	338.7952694	7304.824512	5.7
MANDAGUA?U	392.0396872	7425.268504	5.45
MANDAGUARI	427.79153	7402.934644	5
MANDIRITUBA	668.1441695	7140.80024	0
