ESTACAO	x	y	01.04.2015
2250028	513.337282	7473.079161	3.1
2250030	523.5777351	7460.889753	4.5
2250031	535.8818883	7461.97247	35.1
2250032	553.3026758	7459.706826	1.4
2250033	574.8294548	7459.615184	0
2251023	462.0121787	7484.107296	0
2251027	479.496124	7462.001251	32
2251033	408.7218148	7467.27426	0
2251037	427.1247303	7479.55196	15.3
2251038	476.3894583	7481.92246	83.6
2251039	496.9221675	7473.084723	1.6
2251041	418.8599673	7489.473644	0
2251042	434.2668087	7489.547844	8.7
2251069	438.4290629	7476.280923	7.5
2252010	387.1247653	7474.878545	25.4
2252013	393.0650171	7505.92149	3.2
2252015	308.8726795	7494.029299	16.3
2252017	343.8163864	7494.426342	0
2252020	296.7158813	7480.58098	23.3
2252023	351.0966551	7485.640522	0
2252024	361.3672433	7485.737509	0
2252025	315.4441055	7460.884551	18.6
2252027	343.0518997	7468.94922	13.7
2253002	266.9486541	7479.045667	0
2253010	253.9396294	7457.789279	16
2253011	266.2473156	7457.98555	25
2253013	291.8248394	7462.791965	22
2253016	277.1214013	7485.844957	21.9
2349030	615.3783386	7400.674904	37.8
2349036	627.9194467	7433.790254	3.5
2349059	604.2165756	7410.723586	0
2349060	627.5839585	7395.037147	1.2
2349061	640.6403508	7372.769269	0
2349064	637.4138707	7355.081444	7.8
2350002	572.7148526	7446.34051	0
2350006	535.7352152	7401.085102	9.8
2350011	595.2826361	7451.749572	0
2350012	595.0987839	7422.964392	14.2
2350018	566.5648165	7445.262054	2.8
2350021	537.8198791	7417.686078	49
2350023	520.4644903	7433.218912	31.9
2350026	525.605315	7447.602316	9.3
2350029	558.2983074	7426.476237	14.5
2350032	508.1747812	7413.304016	8
2350033	566.4160773	7412.049606	35.1
2350037	519.3578386	7370.117232	0
2350041	576.3318616	7354.427956	3.7
2350042	583.4757481	7357.709982	0
2350043	599.7186088	7350.96293	0
2350046	588.6135883	7365.430011	4.1
2350048	554.0603978	7386.636403	9.7
2350049	570.3809946	7386.566753	6.1
2350052	561.2377373	7395.465154	13.2
2350053	578.6483994	7406.453628	15.3
2350054	599.0254665	7398.579951	9.1
2350061	543.7697691	7356.778238	0
2350062	562.1162524	7362.246683	1.6
2350063	568.2419244	7365.540586	0
2350066	512.2381174	7384.51731	3.1
2350067	503.068068	7425.48345	11.9
2350069	502.0455313	7426.590663	18.4
2351003	484.6619403	7423.261751	11.5
2351004	421.5003805	7378.774961	0
2351010	484.664234	7421.047664	14
2351013	402.9433063	7409.665285	28.8
2351020	439.9619599	7352.290833	0
2351023	412.4318813	7361.007419	0
2351024	431.7580756	7365.540586	3.8
2351026	458.2212452	7372.284159	2.8
2351027	472.5019867	7364.568442	6
2351028	400.0520968	7384.17954	2.5
2351029	412.2646403	7388.687068	13.7
2351031	473.3684987	7448.707544	14.9
2351035	476.5204612	7398.89568	37
2351037	464.3053572	7384.478716	0
2351041	491.8618553	7347.985428	3
2351043	438.8133319	7383.28679	4.3
2351044	407.0721356	7403.048714	0
2351045	411.1035946	7411.931173	24.8
2353038	266.5235793	7440.26369	28.5
2353041	288.1135353	7435.047011	17.3
2353044	274.8189969	7433.744086	18
2353047	197.7101241	7348.126763	32.3
2448035	727.5969914	7264.186223	0
2448036	754.8583362	7260.386486	1
2448037	705.2709092	7260.103268	0
2449000	702.3982356	7271.224828	0.2
2449007	668.8742422	7261.703378	0
2449008	674.8445977	7253.874889	0
2449011	608.384657	7286.672845	26.6
2449019	660.5428032	7329.367934	9
2449020	671.6322001	7239.514389	6
2449021	660.0011106	7281.746703	11.8
2449023	654.5907376	7250.793825	0
2449024	693.8171711	7237.002874	0
2449026	619.1366836	7241.178587	0
2449028	631.4331433	7259.89464	0
2449030	633.6047076	7275.379339	0
2449032	628.6760484	7289.823232	6.1
2449036	644.0122493	7302.964377	0
2449040	629.9446489	7317.498307	0
2449044	655.5098622	7333.854032	0
2449045	637.2441095	7337.363926	1.6
2449063	654.4412201	7237.503478	0
2450008	508.1236293	7322.520895	9.4
